feature_set,description,n_numeric,n_categorical,cv_MAE,cv_MAE_std,cv_RMSE,cv_RMSE_std,cv_R2,cv_R2_std
specs_engineered_cells,Specs + engineered + number_of_cells,23,3,12.38,2.55,18.78,5.14,0.9627,0.0203
raw_specs_only,Raw specification columns only,11,3,12.53,3.2,18.76,6.74,0.9601,0.03
specs_engineered_brand,Specifications + engineered + brand encoding,22,4,12.56,2.35,18.85,5.16,0.9624,0.0203
specs_plus_engineered,Specifications + all engineered features,22,3,12.6,2.46,18.78,4.76,0.9625,0.0206
